BARCODE,ASSET DESCRIPTION,SERIAL NO,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,BUILDING,FLOOR NUMBER,ROOM NUMBER,VERIFICATION DATE,DUPLICATE BARCODE,ASSET CONDITION - 30 JUNE 2012,ASSET CONDITION - 30 JUNE 2013,RESPONSIBLE PERSON,LEASED,VIN NUMBER,START LAT,START LONG,STREET NAME
02858,PROJECTOR DATA,,OTHER ASSETS,MACHINERY AND EQUIPMENT,EMP-735,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0017,,,GOOD,,JACOBS T V,NO,,,,
02861,COMPUTER CPU,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0039,,,FAIR,,MOTHUSIMANG S,NO,,,,
02862,STAND FLIP CHART,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0038,,,FAIR,,PETER R,NO,,,,
02863,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02864,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02865,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02866,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02867,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02868,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02869,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02870,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02871,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02872,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02873,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02874,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,GOOD,,TESTING STATION,NO,,,,
02875,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02876,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02877,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02878,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02879,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02880,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02881,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02882,CHAIR WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02883,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02884,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02885,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,GOOD,,TESTING STATION,NO,,,,
02886,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02887,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02888,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02889,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02890,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02891,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02892,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02893,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02894,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02895,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02896,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02897,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02898,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,GOOD,,TESTING STATION,NO,,,,
02899,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02900,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02901,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02902,TABLE WOOD WITH STEEL LEGS,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TESTING STATION,,,R0048,,,FAIR,,TESTING STATION,NO,,,,
02904,CHAIR WOOD UPHOLSTERED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0201,,,GOOD,,ELECTRICAL STORE,NO,,,,
02905,CHAIR WOOD UPHOLSTERED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL OFFICE,,,R0202,,,GOOD,,ELECTRIC OFFICE,NO,,,,
02906,CHAIR WOOD UPHOLSTERED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL OFFICE,,,R0202,,,GOOD,,ELECTRIC OFFICE,NO,,,,
02907,CHAIR WOOD UPHOLSTERED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL OFFICE,,,R0202,,,GOOD,,ELECTRIC OFFICE,NO,,,,
02908,CHAIR MID BACK SWIVEL TILT,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL OFFICE,,,R0202,,,FAIR,,ELECTRIC OFFICE,NO,,,,
02909,CABINET FILING STEEL 4 DRAWER,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0051,,,GOOD,,ELECTRICAL STORE,NO,,,,
02910,CUPBOARD STATIONERY STEEL,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0051,,,GOOD,,ELECTRICAL STORE,NO,,,,
02911,DESK DOUBLE PEDESTAL,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0201,,,GOOD,,ELECTRICAL STORE,NO,,,,
02918,PROJECTOR DATA,,OTHER ASSETS,MACHINERY AND EQUIPMENT,SD281EKE,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENVALE,LIBRARY,,,R0035,,,GOOD,,LIBRARY WARRENVALE,NO,,,,
02919,TELEVISION,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENVALE,LIBRARY,,,R0035,,,GOOD,,LIBRARY WARRENVALE,NO,,,,
02920,MACHINE COMPACT MIXING CONSOLE,,OTHER ASSETS,MACHINERY AND EQUIPMENT,DPALN 8,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0037,,,FAIR,,VACANT,NO,,,,
03259,CHAIR TYPIST,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,BOARDROOM LARGE,,,R0009,,,GOOD,,BOARDROOM LARGE,NO,,,,
03261,CHAIR TYPIST,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0003,,,GOOD,,SMOUS Y,NO,,,,
03262,CHAIR TYPIST,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0002,,,GOOD,,MAKGOE K H,NO,,,,
03266,CHAIR TYPIST,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0023,,,GOOD,,TLHALOGANYO E,NO,,,,
03267,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,SYNC MASTER SA10,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0023,,,GOOD,,TLHALOGANYO E,NO,,,,
03269,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,SYNC MASTER 5A10,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,LIBRARY,,,R0030,,,GOOD,,LIBRARY,NO,,,,
03275,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,FAIR,,CITY HALL,NO,,,,
03278,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03281,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03283,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03284,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03285,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03286,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03287,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03288,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03289,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03290,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03291,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03292,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03293,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03294,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03295,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03296,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03297,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03298,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03299,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03300,CHAIR KITCHEN,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,CITY HALL,,,R0031,,,SCRAP,,CITY HALL,NO,,,,
03502,MACHINE BRUSH CUTTER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,143R-II,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,FAIR,,PARKS STORE ROOM,NO,,,,
03503,MACHINE BRUSH CUTTER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,143R-II,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,FAIR,,PARKS STORE ROOM,NO,,,,
03504,LADDER ALLUMINIUM,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0201,,,GOOD,,ELECTRICAL STORE,NO,,,,
03505,MACHINE DRILL HAND,,OTHER ASSETS,MACHINERY AND EQUIPMENT,1021,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0201,,,GOOD,,ELECTRICAL STORE,NO,,,,
03507,LDV TOYOTA HILUX 2000,BMT34NC,OTHER ASSETS,TRANSPORT ASSETS,BMT34NC,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
03508,VW MICRO BUS 2.3l,BMG088NC,OTHER ASSETS,TRANSPORT ASSETS,BMG088NC,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,TRAFFIC SECTION,,,R0045,,,GOOD,,REGISTATION TRAFFIC,NO,,,,
03509,MACHINE DRILL HAND,,OTHER ASSETS,MACHINERY AND EQUIPMENT,PROFFESIONAL BUR2160E,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
03510,APPARATUS CHLORINE METER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,SC 400,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PURIFICATION PLANT,,,R0049,,,GOOD,,PURIFICATION PLANT,NO,,,,
03512,APPARATUSTURBIDIMETER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,TB200IR-10,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PURIFICATION PLANT,,,R0049,,,GOOD,,PURIFICATION PLANT,NO,,,,
03513,APPARATUS PH METER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,PH25,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PURIFICATION PLANT,,,R0049,,,GOOD,,PURIFICATION PLANT,NO,,,,
03514,APPARATUS ELECTRIC CONDUCTIVITY METER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,CM35,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PURIFICATION PLANT,,,R0049,,,GOOD,,PURIFICATION PLANT,NO,,,,
03515,HEATER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PURIFICATION PLANT,,,R0049,,,GOOD,,PURIFICATION PLANT,NO,,,,
03518,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0059,,,FAIR,,ALL OUTSIDE SUB LIBRARIES OF MAGARENG,NO,,,,
03519,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0059,,,FAIR,,ALL OUTSIDE SUB LIBRARIES OF MAGARENG,NO,,,,
03524,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,SYNC MASTER SA10,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0002,,,GOOD,,MAKGOE K H,NO,,,,
03526,URN,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0016,,,GOOD,,KITCHEN,NO,,,,
03527,PROJECTOR DATA,,OTHER ASSETS,MACHINERY AND EQUIPMENT,NP 210,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0017,,,FAIR,,JACOBS T V,NO,,,,
03528,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,SYNC MASTER SA10,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0019,,,GOOD,,SENONOHI K D,NO,,,,
03530,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,SYNC MASTER SA10,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0020,,,GOOD,,TLHALOGANYO I,NO,,,,
03532,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0059,,,FAIR,,ALL OUTSIDE SUB LIBRARIES OF MAGARENG,NO,,,,
03533,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0059,,,FAIR,,ALL OUTSIDE SUB LIBRARIES OF MAGARENG,NO,,,,
03534,BOOKCASE LIBRARY SINGLE SIDED,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0059,,,FAIR,,ALL OUTSIDE SUB LIBRARIES OF MAGARENG,NO,,,,
00001,CHAIR MID BACK,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0020,,,GOOD,,TLHALOGANYO I,NO,,,,
00002,COMPUTER MONITOR,,OTHER ASSETS,COMPUTER EQUIPMENT,C500,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0051,,,POOR,,ELECTRICAL STORE,NO,,,,
00003,UNINTERRUPTED POWER SUPPLY UNIT,,OTHER ASSETS,COMPUTER EQUIPMENT,POWERCOM,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0002,,,FAIR,,MAKGOE K H,NO,,,,
00004,COMPUTER PRINTER,,OTHER ASSETS,COMPUTER EQUIPMENT,LASERJET 1022,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0051,,,POOR,,ELECTRICAL STORE,NO,,,,
00005,CHAIR MID BACK SWIVEL TILT,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0001,,,FAIR,,SEGANO K,NO,,,,
00006,COMPUTER CPU,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0037,,,FAIR,,VACANT,NO,,,,
00007,COMPUTER CPU,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0002,,,VERY GOOD,,MAKGOE K H,NO,,,,
00008,TABLE WOOD,,OTHER ASSETS,FURNITURE AND OFFICE EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0020,,,GOOD,,TLHALOGANYO I,NO,,,,
