BARCODE,"ASSET DESCRIPTION","SERIAL NO",CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,LOCATION_4,"FLOOR NUMBER","ROOM TYPE","VERIFICATION DATE",OWNERSHIP,"DUPLICATE BARCODE","ASSET CONDITION",OWNER,LEASED,"VIN NUMBER","DATE OF VERIFICATION","SUPPLIER NAME","GAMAP FUNDING","GFS FUNDING",QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,"FROM NODE","TO NODE","NODE LAYER","START LAT","START LONG","END LAT","END LONG",GIS_ID,"STAND NUMBER","STREET NAME","LAND RENTED (Y/N)","LAND OR IMPROVEMENTS","LAND MATCHED","ERF NUMBER",PORTION,EXTENSION,"TITLE DEED NUMBER","SURVEY GENERAL REFERANCE NO","LAND SIZE","VOTE NUMBER","ORDER NUMBER","ORDER DATE","INVOICE NUMBER","INVOICE DATE","CHEQUE NUMBER","WAS ASSET BROUGHT IN ON A DRC",,"UPDATE STATUS","CREATE TIME","UPDATE TIME","PREV CONDITION","PREV CATEGORY 1","PREV CATEGORY 2","PREV CATEGORY 3","PREV CATEGORY 4","PREV TOWN","PREV STREET","PREV BUILDING","PREV FLOOR","PREV ROOM"
A00411,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A03336,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A03548,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A03459,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A04010,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00352,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A01254,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A04015,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00329,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00025,"CHAIR HIGHBACK",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR HIGHBACK",MATERIAL,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",POOR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR HIGHBACK",MATERIAL,BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00209,"CHAIR MIDBACK",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR MIDBACK",VYNIL,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR MIDBACK",VYNIL,BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00455,PIANO,,"OTHER ASSETS","FURNITURE & FITTNGS",PIANO,BLIITHNER,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",GOOD,"OTHER ASSETS","FURNITURE & FITTNGS",PIANO,BLIITHNER,BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00393,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",BROKEN,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A01223,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",BROKEN,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00513,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",BROKEN,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00137,"CHAIR MIDBACK",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR MIDBACK",VYNIL,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",POOR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR MIDBACK",VYNIL,BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A01001,"CHAIR MIDBACK",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR MIDBACK",VYNIL,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR MIDBACK",VYNIL,BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00224,DESK,,"OTHER ASSETS","FURNITURE & FITTNGS",DESK,WOODEN,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,0.55X2.2M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",GOOD,"OTHER ASSETS","FURNITURE & FITTNGS",DESK,WOODEN,BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00237,TABLE,,"OTHER ASSETS","FURNITURE & FITTNGS",TABLE,WOODEN,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,1.2X2.7M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS",TABLE,WOODEN,BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A04025,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:25","2013-06-15 19:28:25",GOOD,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A04714,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,A04701,A04702,A04703,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",GOOD,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET",A04701,A04702,A04703
A00304,FRIDGE,354L,"OTHER ASSETS","FURNITURE & FITTNGS",FRIDGE,"KELVINATOR R436",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,KITCHEN,N/A,R0017,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS",FRIDGE,"KELVINATOR R436",BOSHOF,"VOORTREKKER STREET",KITCHEN,N/A,R0017
A00303,STOVE,,"OTHER ASSETS","FURNITURE & FITTNGS",STOVE,"DEFY 422",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,KITCHEN,N/A,R0017,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS",STOVE,"DEFY 422",BOSHOF,"VOORTREKKER STREET",KITCHEN,N/A,R0017
A00302,"KITCHEN CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","KITCHEN CABINET","SIX DOOR",,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,KITCHEN,N/A,R0017,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,0.5X3.4M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","KITCHEN CABINET","SIX DOOR",BOSHOF,"VOORTREKKER STREET",KITCHEN,N/A,R0017
A00305,"FOOD WARMER",,"OTHER ASSETS","OFFICE EQUIPMENT","FOOD WARMER",STEEL,,NO,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,KITCHEN,N/A,R0017,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",POOR,"OTHER ASSETS","OFFICE EQUIPMENT","FOOD WARMER",STEEL,BOSHOF,"VOORTREKKER STREET",KITCHEN,N/A,R0017
A00306,COUNTER,,"OTHER ASSETS","FURNITURE & FITTNGS",COUNTER,WOODEN,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,KITCHEN,N/A,R0017,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,0.7X2.5M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS",COUNTER,WOODEN,BOSHOF,"VOORTREKKER STREET",KITCHEN,N/A,R0017
A00307,COUNTER,,"OTHER ASSETS","FURNITURE & FITTNGS",COUNTER,WOODEN,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,KITCHEN,N/A,R0017,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,0.65X4.8M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS",COUNTER,WOODEN,BOSHOF,"VOORTREKKER STREET",KITCHEN,N/A,R0017
A00308,"KITCHEN CABINET",,"OTHER ASSETS","FURNITURE & FITTNGS","KITCHEN CABINET",WOODEN,,YES,"COMMUNITY SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,KITCHEN,N/A,R0017,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"MR. SS MOCHWARO",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,0.65X2.5M,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","KITCHEN CABINET",WOODEN,BOSHOF,"VOORTREKKER STREET",KITCHEN,N/A,R0017
A00342,"CHAIR STACKABLE",,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",,YES,"TRAFFIC SERVICES",N/A,BOSHOF,BOSHOF,TOWNHALL,"TRAFFIC ",N/A,A04709,2012/06/30,"TOKOLOGO LOCAL MUNICIPALITY",N/A,,"N. GROVE",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,"VOORTREKKER STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:26","2013-06-15 19:28:26",FAIR,"OTHER ASSETS","FURNITURE & FITTNGS","CHAIR STACKABLE","PLASTIC BLACK",BOSHOF,"VOORTREKKER STREET","TRAFFIC ",N/A,A04709
